time,activity,lifecycle,payload
2022/08/01 12:13:47.232526285,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:47.232564491,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:47.725311669,WEED_FOUND,START,
2022/08/01 12:13:47.725346286,WEED_FOUND,STOP,
2022/08/01 12:13:47.725368569,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:47.725390793,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:48.224076825,WEED_FOUND,START,
2022/08/01 12:13:48.224109042,WEED_FOUND,STOP,
2022/08/01 12:13:48.224132662,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:48.224155415,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:48.727690856,WEED_FOUND,START,
2022/08/01 12:13:48.727808249,WEED_FOUND,STOP,
2022/08/01 12:13:48.727861565,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:48.727915852,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:49.226198669,WEED_FOUND,START,
2022/08/01 12:13:49.226286420,WEED_FOUND,STOP,
2022/08/01 12:13:49.226368913,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:49.226400335,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:49.727059890,WEED_FOUND,START,
2022/08/01 12:13:49.727160764,WEED_FOUND,STOP,
2022/08/01 12:13:49.727257762,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:49.727303569,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:50.224093593,WEED_FOUND,START,
2022/08/01 12:13:50.224151132,WEED_FOUND,STOP,
2022/08/01 12:13:50.224175637,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:50.224198478,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:50.724816399,WEED_FOUND,START,
2022/08/01 12:13:50.724848971,WEED_FOUND,STOP,
2022/08/01 12:13:50.724873482,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:50.724896840,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:51.223960427,WEED_FOUND,START,
2022/08/01 12:13:51.224008211,WEED_FOUND,STOP,
2022/08/01 12:13:51.224040350,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:51.224063661,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:51.724847213,WEED_FOUND,START,
2022/08/01 12:13:51.724878903,WEED_FOUND,STOP,
